epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1397.73,0.89082,1.52128,1.09005,0.86384,0.98011,0.95583,0.72418,0.71768,1.06284,0.96363,0.00047465,0.00047465,0.00047465
2,2792.01,0.93016,0.93438,1.11383,0.87715,0.76375,0.85033,0.66399,0.74055,0.77936,1.02285,0.000898679,0.000898679,0.000898679
3,4186.36,0.92881,0.76005,1.11121,0.83668,0.80631,0.90165,0.75357,0.76049,0.72775,0.92182,0.00127031,0.00127031,0.00127031
4,5572.39,0.89124,0.65785,1.09613,0.90156,0.9657,0.94485,0.74349,0.72838,0.45186,0.89085,0.00119322,0.00119322,0.00119322
5,6955.61,0.87533,0.58769,1.08328,0.97203,0.90455,0.96355,0.81869,0.61454,0.42207,0.84271,0.00111462,0.00111462,0.00111462
6,8350.11,0.84049,0.53669,1.06588,0.95603,0.99727,0.98879,0.86543,0.59697,0.36874,0.82562,0.00103602,0.00103602,0.00103602
7,9734.08,0.8161,0.50851,1.05083,0.99635,0.98222,0.98818,0.85988,0.5789,0.34701,0.81398,0.00095743,0.00095743,0.00095743
8,11117.8,0.79883,0.47857,1.04074,0.97995,0.98337,0.98525,0.8662,0.5988,0.31893,0.8134,0.000878835,0.000878835,0.000878835
9,12494.5,0.7676,0.41907,1.01391,0.95371,0.95238,0.96307,0.82547,0.62685,0.34649,0.83966,0.00080024,0.00080024,0.00080024
10,13870.7,0.74935,0.39625,0.99783,0.97671,0.96661,0.98953,0.88394,0.57154,0.32758,0.80151,0.000721645,0.000721645,0.000721645
11,15247.2,0.72985,0.3811,0.99258,0.99858,0.99745,0.995,0.88014,0.55999,0.29119,0.79165,0.00064305,0.00064305,0.00064305
12,16623.9,0.72274,0.36492,0.98474,0.99525,0.98074,0.99439,0.89063,0.53338,0.28241,0.78856,0.000564455,0.000564455,0.000564455
13,18000.9,0.7088,0.34719,0.98012,0.98926,0.99798,0.995,0.90663,0.52207,0.26494,0.77568,0.00048586,0.00048586,0.00048586
14,19378.5,0.69396,0.32846,0.9648,0.9957,1,0.995,0.90182,0.5277,0.26429,0.78215,0.000407265,0.000407265,0.000407265
15,20757,0.69614,0.31867,0.97892,0.99799,0.99949,0.995,0.90843,0.53689,0.25278,0.77096,0.00032867,0.00032867,0.00032867
16,22134,0.675,0.31044,0.95955,0.99989,0.9833,0.99439,0.90522,0.5055,0.24005,0.76618,0.000250075,0.000250075,0.000250075
17,23510.2,0.66073,0.29416,0.95536,0.99645,1,0.995,0.91325,0.4907,0.22045,0.7586,0.00017148,0.00017148,0.00017148
18,24886.5,0.65909,0.28857,0.95422,0.99768,1,0.995,0.91358,0.47753,0.21786,0.75724,9.2885e-05,9.2885e-05,9.2885e-05
